  Scalars from the TRANSP run =141711P07   dir = TRANSP.   time =     0.4700
    1 BZXR       0.465E+02 VACUUM FIELD "BZ*R"       TESLA*CM  :(scalar)  
    1 PINJ_D     0.192E+07 TOTAL INJECTED D BEAM POW WATTS     :(scalar)  
   3.4221E+11   3.2670E+11   2.9712E+11   2.5753E+11   2.1770E+11
   1.8656E+11   1.6276E+11   1.4115E+11   1.1960E+11   9.9057E+10
   8.0167E+10   6.5030E+10   5.2872E+10   4.3596E+10   3.7812E+10
   20 ND         DEUTERIUM ION DENSITY            N/CM**3         :X         
   3.8987E+13   3.8922E+13   3.7929E+13   3.6492E+13   3.5383E+13
   3.4470E+13   3.2908E+13   2.9929E+13   2.5941E+13   2.1929E+13
   1.8792E+13   1.6395E+13   1.4218E+13   1.2047E+13   9.9780E+12
   8.0752E+12   6.5505E+12   5.3258E+12   4.3913E+12   3.8087E+12
   20 NT         (no-such-item)                                   :          
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   20 NIMP       TOTAL IMPURITY DENSITY           N/CM**3         :X         
   2.5359E+11   2.5966E+11   2.6381E+11   2.6690E+11   2.6627E+11
   2.5959E+11   2.4116E+11   2.0306E+11   1.5101E+11   1.1677E+11
   9.8306E+10   8.5545E+10   7.4096E+10   6.2753E+10   5.1961E+10
   4.2046E+10   3.4105E+10   2.7727E+10   2.2862E+10   1.9829E+10
   20 NI         TOTAL ION DENSITY                N/CM**3         :X         
   3.9628E+13   3.9569E+13   3.8570E+13   3.7121E+13   3.6001E+13
   3.5072E+13   3.3476E+13   3.0429E+13   2.6349E+13   2.2264E+13
   1.9077E+13   1.6643E+13   1.4433E+13   1.2230E+13   1.0129E+13
   8.1975E+12   6.6496E+12   5.4064E+12   4.4578E+12   3.8664E+12
   20 NFI        (no-such-item)                                   :          
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   20 NHE4       HELIUM-4 ION DENSITY             N/CM**3         :X         
   3.6583E+08   3.6522E+08   3.5590E+08   3.4241E+08   3.3201E+08
   3.2344E+08   3.0879E+08   2.8083E+08   2.4341E+08   2.0576E+08
   1.7633E+08   1.5384E+08   1.3341E+08   1.1304E+08   9.3626E+07
   7.5771E+07   6.1464E+07   4.9973E+07   4.1205E+07   3.5738E+07
   20 BDENS      BEAM ION DENSITY                 N/CM**3         :X         
   3.4345E+12   3.2727E+12   2.9200E+12   2.4335E+12   1.9254E+12
   1.4815E+12   1.0946E+12   7.3754E+11   4.2551E+11   2.1133E+11
   9.2363E+10   3.7767E+10   1.5661E+10   6.9151E+09   3.0751E+09
   1.3835E+09   6.4512E+08   3.0566E+08   1.6706E+08   1.3981E+08
   20 BDENS_D    D BEAM ION DENSITY               N/CM**3         :X         
   3.4345E+12   3.2727E+12   2.9200E+12   2.4335E+12   1.9254E+12
   1.4815E+12   1.0946E+12   7.3754E+11   4.2551E+11   2.1133E+11
   9.2363E+10   3.7767E+10   1.5661E+10   6.9151E+09   3.0751E+09
   1.3835E+09   6.4512E+08   3.0566E+08   1.6706E+08   1.3981E+08
   20 BDENS_T    (no-such-item)                                   :          
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   20 TX         IMPURITY TEMPERATURE             EV              :X         
   1.2194E+03   1.2883E+03   1.3469E+03   1.3995E+03   1.3909E+03
   1.2873E+03   1.1084E+03   8.7467E+02   6.4740E+02   5.0346E+02
   3.4089E+02   2.3401E+02   1.7963E+02   6.3723E+01   1.5597E+01
   5.0256E+00   5.0280E+00   5.0296E+00   5.0302E+00   5.0293E+00
   20 TI         ION TEMPERATURE                  EV              :X         
   1.1914E+03   1.2599E+03   1.3204E+03   1.3771E+03   1.3749E+03
   1.2778E+03   1.1036E+03   8.7249E+02   6.4646E+02   5.0392E+02
   3.4120E+02   2.3389E+02   1.7957E+02   6.3389E+01   1.5504E+01
   5.0000E+00   5.0000E+00   5.0000E+00   5.0000E+00   5.0000E+00
   20 TE         ELECTRON TEMPERATURE             EV              :X         
   1.3777E+03   1.3641E+03   1.3330E+03   1.2812E+03   1.2043E+03
   1.0975E+03   9.5830E+02   7.9493E+02   6.2711E+02   4.7589E+02
   3.5242E+02   2.5650E+02   1.8289E+02   1.2775E+02   8.7488E+01
   6.0426E+01   4.3012E+01   3.1163E+01   2.2662E+01   1.9018E+01
   20 CUR        TOTAL PLASMA CURRENT             AMPS/CM2        :X         
   7.6172E+01   7.6421E+01   7.7754E+01   8.1860E+01   9.0051E+01
   1.0194E+02   1.1244E+02   1.0451E+02   6.8516E+01   4.2742E+01
   3.1038E+01   2.2213E+01   1.9588E+01   1.7804E+01   1.5099E+01
   1.2844E+01   8.8529E+00   3.8118E+00  -7.1059E-01  -2.5682E+00
   20 CURBS      BOOTSTRAP CURRENT                AMPS/CM2        :X         
   6.7734E+00   1.1094E+01   1.2762E+01   1.3625E+01   1.2155E+01
   1.1411E+01   1.1577E+01   1.1263E+01   9.9733E+00   7.9372E+00
   5.6256E+00   3.6863E+00   2.7288E+00   2.3416E+00   1.6627E+00
   9.2928E-01   4.5475E-01   1.9973E-01   7.8199E-02   3.3459E-02
   20 CURB       BEAM DRIVEN CURRENT              AMPS/CM2        :X         
   9.8812E+00   1.4752E+01   1.8125E+01   1.8851E+01   1.8043E+01
   1.6419E+01   1.3737E+01   9.7867E+00   5.4926E+00   2.4858E+00
   9.3611E-01   3.1719E-01   1.0265E-01   3.2554E-02   9.7718E-03
   3.0738E-03   1.0683E-03   3.8259E-04   1.7081E-04   1.3250E-04
   20 PLJB       <J.B> FLUX SURFACE VOL.AVG       AMP*TESLA/CM2   :X         
   3.8998E+01   3.9215E+01   4.0102E+01   4.2767E+01   4.8057E+01
   5.5891E+01   6.3538E+01   6.0719E+01   4.0133E+01   2.5170E+01
   1.8720E+01   1.3801E+01   1.2508E+01   1.1715E+01   1.0360E+01
   9.1770E+00   6.5895E+00   2.9655E+00  -5.7719E-01  -2.2008E+00
   20 GFUN       G: PARA/DIAMAGNETISM                             :XB        
   1.1260E+00   1.1278E+00   1.1293E+00   1.1264E+00   1.1155E+00
   1.0948E+00   1.0670E+00   1.0430E+00   1.0288E+00   1.0202E+00
   1.0142E+00   1.0099E+00   1.0065E+00   1.0039E+00   1.0019E+00
   1.0006E+00   1.0000E+00   9.9986E-01   9.9994E-01   1.0000E+00
   20 Q          Q PROFILE                                        :XB        
   1.1884E+00   1.1945E+00   1.1999E+00   1.1920E+00   1.1635E+00
   1.1191E+00   1.0804E+00   1.0985E+00   1.2306E+00   1.4679E+00
   1.8064E+00   2.2682E+00   2.8567E+00   3.6054E+00   4.5862E+00
   5.8915E+00   7.6535E+00   1.0174E+01   1.3672E+01   1.7722E+01
   20 UE         ELECTRON ENERGY DENSITY          JLES/CM3        :X         
   1.4670E-02   1.4467E-02   1.3709E-02   1.2579E-02   1.1349E-02
   9.9760E-03   8.2401E-03   6.1557E-03   4.1570E-03   2.6417E-03
   1.6666E-03   1.0545E-03   6.5067E-04   3.8473E-04   2.1817E-04
   1.2198E-04   7.0521E-05   4.1586E-05   2.4969E-05   1.8176E-05
   20 UI         ION ENERGY DENSITY               JLES/CM3        :X         
   1.1465E-02   1.2059E-02   1.2269E-02   1.2239E-02   1.1795E-02
   1.0663E-02   8.8127E-03   6.3595E-03   4.0858E-03   2.6868E-03
   1.5535E-03   9.3957E-04   6.4840E-04   1.9300E-04   3.7194E-05
   9.8228E-06   7.9687E-06   6.4810E-06   5.3463E-06   4.6399E-06
   20 UBPAR_D    D BEAM PLL ENERGY DENSITY        JLES/CM3        :X         
   7.2090E-03   6.9997E-03   6.4753E-03   5.6935E-03   4.8751E-03
   4.1201E-03   3.3235E-03   2.3429E-03   1.3301E-03   6.0970E-04
   2.3880E-04   8.5236E-05   3.0226E-05   1.1268E-05   4.4520E-06
   2.0770E-06   9.5777E-07   4.4597E-07   2.3231E-07   1.8782E-07
   20 UBPRP_D    D BEAM PERP ENERGY DENSITY       JLES/CM3        :X         
   1.1920E-02   1.1165E-02   9.6949E-03   7.8130E-03   5.8734E-03
   4.1819E-03   2.8196E-03   1.7661E-03   1.0088E-03   5.2719E-04
   2.5373E-04   1.1749E-04   5.4754E-05   2.5840E-05   1.2720E-05
   6.4719E-06   3.3845E-06   1.8248E-06   1.0505E-06   8.9173E-07
   20 UBPAR_T    (no-such-item)                                   :          
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
