      152.098      0.00000
      151.136      13.8986
      148.300      27.6816
      143.735      41.2258
      137.667      54.3945
      130.384      67.0328
      122.207      78.9658
      113.467      89.9994
      104.475      99.9247
      95.5037      108.525
      86.7723      115.583
      78.4375      120.894
      70.5960      124.276
      63.2918      125.577
      56.5297      124.690
      50.2914      121.554
      44.5520      116.163
      39.2947      108.569
      34.5207      98.8790
      30.2545      87.2528
      26.5434      73.9007
      23.4510      59.0757
      21.0484      43.0670
      19.4026      26.1923
      18.5655      8.78990
      18.5655     -8.78989
      19.4026     -26.1924
      21.0484     -43.0670
      23.4510     -59.0757
      26.5434     -73.9007
      30.2546     -87.2528
      34.5207     -98.8790
      39.2947     -108.569
      44.5520     -116.163
      50.2914     -121.554
      56.5297     -124.690
      63.2918     -125.577
      70.5960     -124.276
      78.4375     -120.894
      86.7723     -115.583
      95.5037     -108.525
      104.475     -99.9247
      113.467     -89.9994
      122.207     -78.9658
      130.384     -67.0328
      137.667     -54.3945
      143.735     -41.2258
      148.300     -27.6815
      151.136     -13.8986
      152.098  1.92070e-05
